reading_id,station,timestamp,temperature,temp_unit,humidity_pct,wind_ms
R0479,Echo,03/21/2025 05:15 AM,7.1,C,31.4,14.1
R0290,Delta,03/13/2025 08:00 AM,9.7,C,74.2,13.5
R0306,Delta,2025-03-14 00:00,13.4,C,70.5,16.0
R0593,Echo,03/05/2025 11:15 PM,47.5,F,75.0,15.4
R0368,Charlie,03/16/2025 02:00 PM,7.8,C,56.0,9.8
R0173,Bravo,03/08/2025 11:30 AM,1.9,C,43.2,15.8
R0112,Delta,05.03.2025 22:30,8.5,C,63.4,4.1
R0145,Alpha,07.03.2025 07:30,47.3,F,92.9,5.7
R0560,Charlie,03/04/2025 02:00 PM,49.8,F,"35,5",8.8
R0432,Echo,2025-03-19 06:00,40.5,F,84.2,11.6
R0010,Echo,01.03.2025 16:00,22.5,C,43.0,13.8
R0164,Alpha,03/08/2025 02:30 AM,53.6,F,,11.3
R0350,Alpha,03/15/2025 08:30 PM,6.6,C,"70,4",15.5
R0353,Alpha,03/15/2025 11:15 PM,15.0,C,"51,5",4.0
R0447,Echo,2025-03-19 21:00,8.5,C,67.7,12.4
R0369,Alpha,2025-03-16 15:00,10.3,C,45.6,5.6
R0364,Echo,16.03.2025 10:30,1.7,C,52.0,2.7
R0549,Charlie,2025-03-04 03:15,0.1,C,82.8,15.5
R0313,Bravo,14.03.2025 07:15,11.3,C,76.1,3.1
R0082,Delta,04.03.2025 16:15,5.8,C,51.2,8.3
R0565,Charlie,04.03.2025 19:30,58.1,F,66.7,11.4
R0067,Alpha,04.03.2025 01:30,1.0,C,68.7,6.5
R0506,Alpha,03/02/2025 08:30 AM,16.5,C,44.9,14.2
R0036,Bravo,2025-03-02 18:30,47.1,F,"44,3",11.9
R0205,Delta,09.03.2025 19:30,23.8,C,"49,6",3.1
R0535,Echo,03.03.2025 13:15,52.3,F,70.3,7.9
R0109,Charlie,05.03.2025 19:00,49.1,F,55.0,7.1
R0006,Delta,2025-03-01 12:30,1.2,C,83.2,12.1
R0287,Bravo,03/13/2025 05:30 AM,49.1,F,"41,9",12.0
R0049,Charlie,03.03.2025 07:00,51.1,F,64.6,1.9
R0222,Bravo,2025-03-10 12:00,12.7,C,46.8,15.0
R0547,Bravo,04.03.2025 01:30,19.1,C,n/a,11.6
R0217,Bravo,10.03.2025 07:15,1.1,C,62.2,8.8
R0072,Alpha,2025-03-04 06:30,11.0,C,92.6,3.0
R0592,Charlie,05.03.2025 22:15,15.2,C,70.2,13.4
R0536,Bravo,03/03/2025 02:30 PM,11.3,C,"32,0",calm
R0110,Echo,03/05/2025 08:30 PM,9.6,C,52.6,9.2
R0015,Charlie,2025-03-01 21:30,49.1,F,67.9,8.9
R0522,Alpha,2025-03-03 00:15,19.6,C,"64,8",1.2
R0275,Delta,03/12/2025 05:00 PM,12.1,C,71.3,2.1
R0187,Bravo,09.03.2025 01:00,9.3,C,74.8,3.7
R0214,Bravo,10.03.2025 04:00,13.5,C,57.1,3.0
R0562,Delta,04.03.2025 16:15,74.8,F,73.5,13.4
R0542,Echo,03/03/2025 08:00 PM,43.5,F,57.5,14.0
R0185,Delta,03/08/2025 11:00 PM,15.1,C,,1.7
R0338,Alpha,03/15/2025 08:00 AM,9.7,C,"36,4",8.6
R0571,Charlie,05.03.2025 01:15,4.6,C,44.9,0.4
R0578,Bravo,03/05/2025 08:15 AM,6.3,C,,2.2
R0280,Delta,12.03.2025 22:15,14.6,C,62.4,0.8
R0156,Echo,2025-03-07 18:00,4.2,C,47.0,13.2
R0584,Charlie,03/05/2025 02:30 PM,6.2,C,33.9,10.2
R0262,Delta,12.03.2025 04:30,7.2,C,36.1,0.9
R0200,Alpha,03/09/2025 02:15 PM,12.7,C,52.1,17.1
R0216,Charlie,2025-03-10 06:00,5.5,C,79.9,1.0
R0373,Bravo,16.03.2025 19:30,13.1,C,-99,5.6
R0393,Delta,2025-03-17 15:00,56.5,F,67.0,2.2
R0347,Echo,03/15/2025 05:00 PM,11.1,C,52.3,17.1
R0103,Charlie,05.03.2025 13:00,12.6,C,,calm
R0305,Delta,03/13/2025 11:30 PM,14.6,C,,3.7
R0582,Charlie,2025-03-05 12:00,15.8,C,44.0,0.9
R0371,Echo,03/16/2025 05:00 PM,18.0,C,"36,8",16.2
R0071,Echo,03/04/2025 05:30 AM,18.8,C,39.4,10.3
R0020,Bravo,03/02/2025 02:30 AM,7.0,C,34.5,16.6
R0138,Charlie,2025-03-07 00:00,18.5,C,40.3,16.0
R0408,Bravo,2025-03-18 06:00,56.3,F,"68,2",3.8
R0021,Echo,2025-03-02 03:00,14.2,C,,11.5
R0503,Alpha,03/02/2025 05:00 AM,11.4,C,n/a,9.8
